bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_prim
Finnmark,2.4382,2.3359,2.3387,2.3709,60708,138,1180,8.5325301205,0.0868,0.0151,2.2690,0.0366299751
UNN,2.8541,2.9683,3.0560,2.9601,155601,455,4391,9.6427525622,0.1456,0.0420,2.7725,0.0491798774
Nordland,3.0363,3.2864,3.2604,3.1932,109805,348,2960,8.5067049808,0.0919,0.1381,2.9632,0.028777323
Helgeland,3.4757,3.5316,3.6311,3.5418,62630,219,1644,7.4939209726,0.0529,0.2318,3.2571,0.0149453165
Nord-Trøndelag,3.5531,3.7003,3.7306,3.6621,106379,392,3725,9.5017006803,0.1270,0.2143,3.3208,0.0346749903
St. Olav,3.5582,3.6413,3.6972,3.6327,262229,921,8823,9.5759768452,0.1718,0.3449,3.1160,0.0472985469
Møre og Romsdal,4.1812,4.2575,4.3533,4.2648,208635,885,8490,9.593220339,0.1212,0.2457,3.8979,0.0284232245
Førde,3.5811,3.5541,3.5812,3.5733,85097,302,2166,7.1653803749,0.0770,0.3600,3.1363,0.0215579647
Bergen,3.1077,3.2721,3.3437,3.2427,355587,1129,7756,6.8680637544,0.0842,0.3286,2.8299,0.0259524639
Fonna,2.9571,3.2035,3.2116,3.1244,139728,435,3726,8.5655172414,0.0751,0.2257,2.8235,0.0240284792
Stavanger,3.0126,3.0581,3.0825,3.0513,279974,844,7340,8.6932491117,0.1078,0.2203,2.7232,0.0353369056
Østfold,2.9989,3.1576,3.1075,3.0880,249593,794,6873,8.6525388166,0.1723,0.1643,2.7514,0.0557968079
Akershus,3.1028,3.1599,3.2456,3.1705,442958,1430,11747,8.2127709159,0.1470,0.1679,2.8556,0.0463498098
OUS,2.5460,2.6836,2.7703,2.6682,215555,553,4956,8.9680337756,0.0658,0.2093,2.3931,0.0246578986
Lovisenberg,2.3749,2.5214,2.6058,2.5045,132850,297,2587,8.7115600449,0.0523,0.1898,2.2624,0.0208743171
Diakonhjemmet,2.2966,2.4303,2.4351,2.3886,116260,272,2151,7.8996328029,0.0635,0.3447,1.9805,0.0265757536
Innlandet,3.7964,3.8320,3.9427,3.8565,273677,1074,9377,8.7336230984,0.2197,0.2045,3.4322,0.0569811095
Vestre Viken,2.9032,2.9376,2.9793,2.9402,378757,1149,10076,8.7693646649,0.1168,0.1713,2.6521,0.0397219577
Vestfold,3.0212,3.1876,3.1905,3.1338,194234,624,5874,9.4179583111,0.1108,0.1671,2.8560,0.0353589158
Telemark,3.1200,3.2355,3.2784,3.2107,139029,454,3863,8.5157972079,0.0940,0.2776,2.8392,0.0292747996
Sørlandet,3.4832,3.4946,3.6500,3.5439,237810,843,8249,9.7818181818,0.1016,0.1139,3.3284,0.0286681174
Norge,3.1462,3.2342,3.2873,3.2232,4207096,13560,117955,8.698557066,0.1215,0.2118,2.8899,0.0377072386
