bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_prim
Finnmark,11.0281,11.4707,11.7872,11.4345,60708,671,2832,4.2184707051,8.1406,0.0533,3.2406,0.7119315296
UNN,12.0923,12.6745,13.1336,12.6363,155601,1915,7619,3.9785900783,9.4517,0.0748,3.1098,0.7479795595
Nordland,12.2346,12.7657,13.5967,12.8675,109805,1354,4765,3.5198227038,7.9019,0.1458,4.8199,0.6140924026
Helgeland,12.1692,12.9258,13.6010,12.8858,62630,752,2777,3.6923758865,7.6064,0.2053,5.0741,0.5902946231
Nord-Trøndelag,12.7594,13.2875,14.1494,13.3959,106379,1346,5096,3.7862803368,8.3464,0.2369,4.8127,0.6230549017
St. Olav,12.3668,13.2350,13.9723,13.1991,262229,3460,14287,4.1292870906,7.8196,0.3222,5.0572,0.5924359295
Møre og Romsdal,13.0379,13.8400,14.5052,13.7949,208635,2751,11177,4.0625151442,8.4440,0.4252,4.9257,0.6121119329
Førde,10.2173,11.5310,11.9180,11.2222,85097,896,3580,3.9944217181,5.2753,0.3174,5.6294,0.470081749
Bergen,9.9030,10.1288,10.4291,10.1548,355587,3645,12555,3.4442209217,6.0948,0.2307,3.8292,0.600193379
Fonna,11.2672,11.4969,11.5086,11.4254,139728,1556,5445,3.499571551,8.0109,0.0525,3.3620,0.7011437522
Stavanger,10.5241,10.8207,11.1465,10.8352,279974,3142,11594,3.6899002758,7.6809,0.0978,3.0566,0.7088791825
Østfold,14.0855,14.9667,14.9735,14.6781,249593,3591,13887,3.8671679198,9.1806,0.3512,5.1463,0.6254634441
Akershus,12.7499,13.5698,13.8401,13.3927,442958,6090,24194,3.9727422003,8.1771,0.4569,4.7587,0.610562753
OUS,11.5506,12.1670,12.3955,12.0408,215555,2771,10603,3.8260764975,7.1269,0.4365,4.4774,0.5918944624
Lovisenberg,10.4846,11.3032,11.2915,11.0388,132850,1620,5725,3.5330178976,6.7938,0.3580,3.8870,0.6154455268
Diakonhjemmet,10.5850,11.2348,10.5493,10.7871,116260,1275,4784,3.7533995816,6.2013,0.5715,4.0143,0.5748806796
Innlandet,14.3034,14.7696,15.1994,14.7575,273677,3816,14025,3.6752271139,10.3267,0.3021,4.1287,0.6997595691
Vestre Viken,13.1364,13.6178,13.6648,13.4739,378757,5125,20925,4.0829918699,8.6161,0.3766,4.4812,0.6394647387
Vestfold,12.6047,13.2512,13.5686,13.1461,194234,2514,9665,3.8443383718,8.8152,0.2271,4.1037,0.6705575805
Telemark,11.3203,12.6720,12.7849,12.2576,139029,1631,6131,3.7592479052,8.6065,0.1662,3.4850,0.7021333332
Sørlandet,15.1347,15.8598,15.9995,15.6659,237810,3705,15456,4.1720352708,9.2159,0.2918,6.1582,0.5882792954
Norge,12.2318,12.8656,13.1438,12.7500,4207096,53627,207123,3.8622957341,8.0808,0.2955,4.3738,0.633784415
