bohf,innbyggere,pasienter,ratesnitt,rate2018,rate2019,rate2020,ant_sykempas,andel_sykem
Finnmark,60708,671,2.4937,2.4108,8.0528,6.5521,144,0.2140019861
UNN,155601,1915,2.7917,2.7454,6.8561,5.6351,420,0.2191470844
Nordland,109805,1354,2.3475,2.1423,7.7627,7.0426,242,0.1790199458
Helgeland,62630,752,2.2847,2.0738,8.8539,8.7668,130,0.1733156028
Nord-Trøndelag,106379,1346,2.6398,2.3309,8.3102,8.1651,258,0.191679049
St. Olav,262229,3460,2.7333,2.5060,12.8060,12.2046,719,0.2078034682
Møre og Romsdal,208635,2751,2.7396,2.5338,11.4362,9.2826,536,0.1946934819
Førde,85097,896,2.1729,1.9030,18.6025,18.4030,169,0.1881740424
Bergen,355587,3645,2.4943,2.3663,6.8035,7.7273,905,0.24835406
Fonna,139728,1556,2.0557,1.7937,4.4554,4.1790,275,0.176949443
Stavanger,279974,3142,2.2068,2.1717,2.3236,2.1243,653,0.2079354976
Østfold,249593,3591,2.8058,2.6031,6.1302,6.0730,672,0.1871345029
Akershus,442958,6090,2.8929,2.7350,11.0713,13.3763,1310,0.2151067323
OUS,215555,2771,2.6495,2.6221,11.8353,13.1268,640,0.230935771
Lovisenberg,132850,1620,2.0369,2.1470,10.4809,13.1019,345,0.2129191524
Diakonhjemmet,116260,1275,1.8525,1.8985,14.2821,16.6393,233,0.1825313808
Innlandet,273677,3816,2.7295,2.5093,6.2681,6.7523,685,0.179594689
Vestre Viken,378757,5125,2.7154,2.7475,9.5231,10.6898,1020,0.1990243902
Vestfold,194234,2514,2.3857,2.3258,7.3655,7.9746,449,0.1785998409
Telemark,139029,1631,2.3474,2.1156,5.9152,7.1862,302,0.1849581034
Sørlandet,237810,3705,2.7917,2.5923,11.3172,11.4563,654,0.1765341011
Norge,4207096,53627,2.5576,2.4326,9.0086,9.4647,10761,0.2006638447
