bohf,innbyggere,pasienter,kontakter_poli,polikont_pr_pas,rate2018,rate2019,rate2020,rateSnitt,off_rate,priv_rate,andel_off_poli,andel_priv_poli
Finnmark,75835,367,357,0.9718437784,4.4911,5.0265,4.8399,4.7792,4.7659,0.0133,0.9972223232,0.0027776768
UNN,194125,1076,1012,0.9405020143,5.0193,4.7329,5.9689,5.2337,5.2206,0.0131,0.9975047638,0.0024952362
Nordland,137389,774,1019,1.3155402497,6.6911,7.8288,8.0330,7.5167,7.5048,0.0119,0.9984198772,0.0015801228
Helgeland,78318,404,423,1.0469909316,4.8293,5.0417,6.6939,5.5124,5.4728,0.0396,0.9928144709,0.0071855291
Nord-Trøndelag,135344,824,876,1.0635370295,6.0778,5.8564,7.6010,6.5166,6.4173,0.0993,0.9847590268,0.0152409732
St. Olav,330219,1710,1997,1.1680639501,5.8316,5.5426,6.7432,6.0423,5.9254,0.1169,0.9806556897,0.0193443103
Møre og Romsdal,264876,1442,2025,1.4048554913,7.8542,6.9926,8.1884,7.6747,7.6624,0.0123,0.9983993436,0.0016006564
Førde,108694,561,526,0.9370546318,4.6953,5.0844,4.9809,4.9184,4.9000,0.0183,0.9962693707,0.0037306293
Bergen,453298,2294,2729,1.1897704156,5.4761,6.1691,6.1907,5.9453,5.8166,0.1287,0.9783496069,0.0216503931
Fonna,180479,949,956,1.0077301476,4.6342,4.5111,6.5555,5.2300,5.2282,0.00179,0.9996574466,0.0003425534
Stavanger,367634,1781,2290,1.2860351928,6.2256,6.2992,5.9142,6.1427,6.1350,0.00767,0.9987505604,0.0012494396
Østfold,314795,1685,1856,1.1014636076,5.6919,6.0176,6.2324,5.9833,5.4346,0.5487,0.90829252,0.09170748
Akershus,570206,3032,4390,1.4477792436,7.2041,7.8130,8.0262,7.6814,7.4368,0.2446,0.9681515536,0.0318484464
OUS,274939,1453,2128,1.4648921524,7.9417,7.4160,8.0399,7.8006,7.4860,0.3146,0.959671358,0.040328642
Lovisenberg,155519,727,1090,1.4981668194,7.9187,8.3077,7.7335,7.9923,7.4789,0.5134,0.9357652328,0.0642347672
Diakonhjemmet,142052,649,863,1.3304213772,5.9220,6.0986,6.3585,6.1315,5.6724,0.4591,0.9251205413,0.0748794587
Innlandet,338615,1971,2159,1.0957374831,6.1588,6.2606,7.3854,6.6005,6.3264,0.2741,0.9584737671,0.0415262329
Vestre Viken,485097,2386,2587,1.0842531787,5.3006,5.1598,5.6780,5.3800,4.9844,0.3956,0.9264679625,0.0735320375
Vestfold,244273,1211,1322,1.0919603524,5.3016,5.5125,5.7549,5.5237,5.4968,0.0269,0.9951216069,0.0048783931
Telemark,173355,977,960,0.9825938567,5.2991,5.6796,5.9619,5.6454,5.5324,0.1130,0.9799770549,0.0200229451
Sørlandet,305410,1597,2032,1.2723288815,6.5780,6.1544,6.9603,6.5662,6.3477,0.2185,0.9667277816,0.0332722184
Norge,5330470,27868,33597,1.2055643271,6.0565,6.1523,6.6998,6.3035,6.1068,0.1966,0.9688077528,0.0311922472
