bohf,innbyggere,pasienter,kontakter,kont_pr_pas,rate2018,rate2019,rate2020,rateSnitt,off_rate,priv_rate,andel_off_poli,andel_priv_poli
Finnmark,15127,62,128,2.0756756757,6.4769,9.4482,10.0224,8.6055,8.5855,0.0200,0.9976776005,0.0023223995
UNN,38525,139,291,2.0885167464,6.7992,6.8185,9.0158,7.5283,7.5283,0,1,0
Nordland,27583,130,324,2.498714653,9.5416,10.1299,15.7249,11.7923,11.7923,0,1,0
Helgeland,15688,72,113,1.5720930233,5.1040,6.4235,9.9026,7.1130,7.1130,0,1,0
Nord-Trøndelag,28965,131,294,2.2385786802,10.1008,9.0554,11.1292,10.1011,10.0777,0.0233,0.9976912106,0.0023087894
St. Olav,67990,318,784,2.4638743455,10.9385,10.9145,12.8908,11.5874,11.5375,0.0500,0.9956870385,0.0043129615
Møre og Romsdal,56241,223,530,2.3766816143,7.9466,8.1101,12.2992,9.4324,9.4072,0.0252,0.9973303599,0.0026696401
Førde,23597,73,113,1.5596330275,3.8939,4.3795,6.1622,4.8044,4.8044,0,1,0
Bergen,97711,511,1026,2.0078277886,8.3123,12.3385,11.0182,10.5549,10.3615,0.1934,0.981678857,0.018321143
Fonna,40752,216,449,2.0802469136,8.6234,9.0160,15.3182,10.9722,10.9722,0,1,0
Stavanger,87660,328,728,2.2172588832,7.2177,8.7790,8.9778,8.3226,8.3226,0,1,0
Østfold,65202,244,571,2.3356070941,8.9072,8.3902,8.8299,8.7122,8.6668,0.0454,0.9947843062,0.0052156938
Akershus,127248,544,1460,2.6827924066,10.1633,11.6090,12.5681,11.4458,11.2298,0.2160,0.9811256934,0.0188743066
OUS,59384,225,509,2.2622222222,8.9292,7.6587,9.4065,8.6677,8.4663,0.2015,0.9767574212,0.0232425788
Lovisenberg,22668,68,213,3.1170731707,9.1871,11.3785,9.2399,9.9312,9.6507,0.2805,0.9717562758,0.0282437242
Diakonhjemmet,25792,87,188,2.1570881226,6.8775,7.2155,8.0892,7.3924,7.1082,0.2841,0.9615646046,0.0384353954
Innlandet,64938,366,737,2.0154968095,9.9071,11.3369,12.4376,11.2204,11.0917,0.1287,0.9885284395,0.0114715605
Vestre Viken,106340,430,912,2.1217054264,8.2177,7.8286,9.5882,8.5446,8.4119,0.1327,0.9844724207,0.0155275793
Vestfold,50040,194,438,2.2577319588,8.6366,8.6265,8.8736,8.7099,8.7036,0.00632,0.9992740163,0.0007259837
Telemark,34325,168,296,1.7603960396,8.0791,9.2024,8.3643,8.5438,8.2301,0.3137,0.963278115,0.036721885
Sørlandet,67600,313,816,2.6042553191,12.6036,11.0043,12.4150,12.0019,11.9724,0.0295,0.9975414106,0.0024585894
Norge,1123374,4843,10921,2.2548520303,8.8281,9.5055,10.8353,9.7216,9.6196,0.1021,0.9894984031,0.0105015969
