bohf,innbyggere,pasienter,kontakter_poli,polikont_pr_pas,rate2018,rate2019,rate2020,ratesnitt,off_rate,priv_rate,andel_off_poli,andel_priv_poli
Finnmark,13657,93,55,0.5892857143,4.0876,3.8275,3.9504,3.9487,3.9487,0,1,0
UNN,36156,237,141,0.5943661972,4.3024,3.3684,3.9379,3.8635,3.8547,0.00877,0.9977297989,0.0022702011
Nordland,26995,183,151,0.8269581056,5.5309,6.3688,4.7494,5.5529,5.5529,0,1,0
Helgeland,16364,87,60,0.6884615385,3.5023,3.0545,4.2237,3.6015,3.5000,0.1014,0.9718380445,0.0281619555
Nord-Trøndelag,27344,215,127,0.5913312693,4.9106,3.4195,5.5423,4.6339,4.4986,0.1353,0.970797737,0.029202263
St. Olav,54591,377,229,0.6077738516,4.8702,3.8457,3.8540,4.1870,3.9812,0.2059,0.9508359588,0.0491640412
Møre og Romsdal,51129,364,353,0.9715857012,7.1676,6.6121,6.9815,6.9248,6.9118,0.0130,0.9981168933,0.0018831067
Førde,21658,172,98,0.572815534,4.1234,5.4882,4.0988,4.5637,4.4793,0.0844,0.9815035829,0.0184964171
Bergen,72962,409,246,0.6009771987,3.3970,3.5193,3.2793,3.3980,3.2631,0.1349,0.9603090232,0.0396909768
Fonna,32652,153,64,0.4213973799,1.8618,1.7846,2.2905,1.9821,1.9821,0,1,0
Stavanger,51134,334,289,0.8661338661,6.1076,5.5752,5.2201,5.6258,5.6258,0,1,0
Østfold,60091,354,214,0.6060320452,2.8704,3.7693,3.9487,3.5374,2.8668,0.6706,0.8104348327,0.1895651673
Akershus,90956,540,339,0.6271604938,3.7445,3.7788,3.5866,3.7029,3.3548,0.3481,0.9059879564,0.0940120436
OUS,34733,266,273,1.026348808,8.9297,7.6072,7.5888,8.0273,7.6472,0.3801,0.952647686,0.047352314
Lovisenberg,10973,89,91,1.0262172285,7.4656,8.7181,9.0316,8.4535,7.8673,0.5862,0.9306556769,0.0693443231
Diakonhjemmet,23756,142,131,0.9203747073,4.9895,5.9887,5.5009,5.5115,4.9443,0.5673,0.8970771772,0.1029228228
Innlandet,72728,410,258,0.6305939788,3.6527,3.2281,3.8118,3.5655,3.1891,0.3764,0.8944292513,0.1055707487
Vestre Viken,85478,472,270,0.5731448763,3.3995,3.0845,3.0254,3.1678,2.4957,0.6721,0.7878351523,0.2121648477
Vestfold,47221,261,151,0.5785440613,3.2152,3.3007,3.0817,3.1984,3.1713,0.0270,0.9915478299,0.0084521701
Telemark,35533,211,151,0.7129337539,3.9002,3.9663,4.8166,4.2395,4.1929,0.0466,0.9890096358,0.0109903642
Sørlandet,52917,272,160,0.5875152999,2.6077,2.9357,3.4423,3.0076,2.7845,0.2231,0.9258143991,0.0741856009
Norge,919027,5640,3853,0.6830969267,4.2403,4.1084,4.2220,4.1917,3.9366,0.2551,0.9391460076,0.0608539924
