bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_ikkeprim
Finnmark,4.0380,4.2995,3.9769,4.1073,15 127,62,401,6.5027027027,0.1489,0.1124,3.8461,0.9637598345
UNN,3.6493,3.5374,3.5569,3.5802,38 525,139,736,5.2799043062,0.0950,0.2589,3.2263,0.9734645635
Nordland,4.4865,4.8312,4.7194,4.6802,27 583,130,856,6.6041131105,0.2036,0.3877,4.0889,0.9564923607
Helgeland,4.5386,4.7930,4.0684,4.4726,15 688,72,506,7.0558139535,0.0420,0.3948,4.0358,0.990604274
Nord-Trøndelag,4.5517,5.1650,3.8255,4.5205,28 965,131,751,5.7157360406,0.1976,0.2146,4.1083,0.9562837704
St. Olav,4.9687,4.7354,4.4532,4.7214,67 990,318,1 821,5.7193717277,0.0732,0.3193,4.3288,0.9844979158
Møre og Romsdal,3.7271,4.0227,4.0265,3.9252,56 241,223,1 423,6.3826606876,0.1760,0.3982,3.3510,0.9551600656
Førde,2.9664,3.0436,3.1027,3.0392,23 597,73,409,5.628440367,0.1096,0.2802,2.6494,0.9639413538
Bergen,5.1921,5.6457,5.0359,5.2933,97 711,511,2 409,4.7136333986,0.1451,0.5628,4.5854,0.9725798285
Fonna,4.8367,5.4162,5.5311,5.2626,40 752,216,1 198,5.5462962963,0.0487,0.5801,4.6338,0.9907549295
Stavanger,3.7890,3.8300,3.7262,3.7796,87 660,328,1 984,6.0426395939,0.1838,0.3294,3.2664,0.9513628689
Østfold,3.7771,3.7188,3.6001,3.6988,65 202,244,1 279,5.2332878581,0.0609,0.5349,3.1029,0.9835405856
Akershus,4.1597,4.4083,4.2105,4.2585,127 248,544,3 084,5.6656460502,0.1046,0.6028,3.5511,0.9754371207
OUS,3.8944,3.9379,3.8792,3.9022,59 384,225,1 039,4.6192592593,0.1376,0.6036,3.1610,0.9647271032
Lovisenberg,3.5795,3.6122,3.0048,3.3963,22 668,68,421,6.156097561,0.1127,0.5473,2.7362,0.9668145119
Diakonhjemmet,3.5657,3.6705,3.3149,3.5190,25 792,87,364,4.1800766284,0.1287,0.6964,2.6939,0.9634246467
Innlandet,5.4171,5.8157,5.3042,5.5143,64 938,366,2 139,5.8486782133,0.1301,0.5294,4.8547,0.9764006816
Vestre Viken,3.8848,4.1033,4.0245,4.0052,106 340,430,2 198,5.1108527132,0.0986,0.5128,3.3938,0.9753768073
Vestfold,3.7656,3.9663,3.7395,3.8238,50 040,194,1 122,5.7835051546,0.0870,0.3348,3.4020,0.9772603375
Telemark,4.6937,5.0911,4.6582,4.8138,34 325,168,1 017,6.0415841584,0.2121,0.5278,4.0738,0.9559324082
Sørlandet,4.6136,4.4671,4.7302,4.6023,67 600,313,1 807,5.7670212766,0.1134,0.7432,3.7457,0.9753574621
Norge,4.2643,4.4418,4.2222,4.3102,1123374,4 843,26 962,5.5667584308,0.1213,0.4859,3.7030,0.9718561438
