bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_ikkeprim
Finnmark,7.1989,6.8537,6.4747,6.8473,13657,93,604,6.475,1.1587,0.1660,5.5226,0.8307827104
UNN,6.4458,6.3333,6.7995,6.5202,36156,237,1289,5.4478873239,1.2038,0.3151,5.0012,0.8153691655
Nordland,6.9794,7.3804,5.9353,6.7568,26995,183,800,4.3734061931,0.8392,0.4916,5.4259,0.8757951693
Helgeland,5.2682,5.3379,5.1549,5.2528,16364,87,381,4.4,0.9003,0.3172,4.0354,0.8286090872
Nord-Trøndelag,8.0264,7.7363,7.7561,7.8388,27344,215,1001,4.6486068111,1.5544,0.3769,5.9075,0.8017070947
St. Olav,6.7791,7.0587,6.8471,6.8960,54591,377,2038,5.4019434629,1.1473,0.3412,5.4075,0.833625978
Møre og Romsdal,6.6368,7.2326,7.3421,7.0761,51129,364,1710,4.7030247479,1.1816,0.6554,5.2392,0.8330222639
Førde,7.6251,8.1912,7.8493,7.8845,21658,172,731,4.2582524272,1.7687,0.5285,5.5872,0.7756670869
Bergen,5.5289,5.6903,5.6684,5.6322,72962,409,1366,3.3363192182,0.9983,0.7097,3.9243,0.8227554605
Fonna,4.6383,4.9382,4.5004,4.6876,32652,153,594,3.8886462882,1.1133,0.4038,3.1705,0.7625038954
Stavanger,6.6351,6.4111,6.5153,6.5224,51134,334,1388,4.1598401598,0.9089,0.6289,4.9846,0.8606522851
Østfold,5.5159,5.8810,6.1848,5.8661,60091,354,1615,4.5655042413,1.3700,0.3778,4.1182,0.7664467498
Akershus,5.8179,5.8652,6.0210,5.9030,90956,540,2478,4.5895061728,1.2305,0.4922,4.1804,0.7915479797
OUS,7.8323,8.0798,7.3080,7.7395,34733,266,1188,4.4717691343,1.0166,1.0470,5.6758,0.8686459725
Lovisenberg,8.2681,8.7828,7.6846,8.2492,10973,89,346,3.8913857678,0.9413,1.6763,5.6316,0.8858953808
Diakonhjemmet,5.8687,6.3416,5.8352,6.0197,23756,142,525,3.6908665105,0.8061,1.1582,4.0554,0.8660918749
Innlandet,5.5356,5.8164,5.5633,5.6379,72728,410,1875,4.5760781123,1.4488,0.3683,3.8208,0.7430268473
Vestre Viken,5.6397,5.4529,5.5102,5.5324,85478,472,2405,5.0989399293,1.4141,0.3172,3.8012,0.7444055627
Vestfold,5.2856,5.8168,5.5046,5.5339,47221,261,1091,4.1800766284,1.2084,0.4386,3.8869,0.7816407628
Telemark,5.6552,5.9372,6.2258,5.9468,35533,211,1059,5.0094637224,1.0693,0.4217,4.4558,0.820182939
Sørlandet,4.9164,5.2297,5.2497,5.1360,52917,272,1336,4.9045287638,1.0501,0.3444,3.7415,0.7955401656
Norge,6.0398,6.2274,6.1362,6.1357,919027,5640,25821,4.5781914894,1.1899,0.5009,4.4449,0.8060636978
