"bohf";"innbyggere";"antall1";"antall2";"andelRate1";"andelRate2";"year";"rate1";"rate2"
"Nordland";"108908";143.33333333;262.33333333;0.3523768371;0.6476231629;"2017";0.0570697243;3.1629416694
"Nordland";"108908";143.33333333;262.33333333;0.3523768371;0.6476231629;"2018";1.5015621983;2.037608644
"Nordland";"108908";143.33333333;262.33333333;0.3523768371;0.6476231629;"2019";2.1677834504;1.7108010372
"Nordland";"108908";143.33333333;262.33333333;0.3523768371;0.6476231629;"snitt";1.2503869772;2.298049939
"Diakonhjemmet";"114845";225;102.33333333;0.686658401;0.313341599;"2017";2.2278841416;1.0909487583
"Diakonhjemmet";"114845";225;102.33333333;0.686658401;0.313341599;"2018";2.110749255;0.7092982509
"Diakonhjemmet";"114845";225;102.33333333;0.686658401;0.313341599;"2019";1.7435950623;0.9717739284
"Diakonhjemmet";"114845";225;102.33333333;0.686658401;0.313341599;"snitt";2.0267709768;0.9248727719
"OUS";"212750";338.33333333;207;0.6197582561;0.3802417439;"2017";1.9214684843;1.3823084698
"OUS";"212750";338.33333333;207;0.6197582561;0.3802417439;"2018";1.897857379;1.0847801053
"OUS";"212750";338.33333333;207;0.6197582561;0.3802417439;"2019";1.5841875712;0.853904198
"OUS";"212750";338.33333333;207;0.6197582561;0.3802417439;"snitt";1.7997929334;1.1042312015
"Lovisenberg";"129409";161.66666667;77;0.6897346838;0.3102653162;"2017";2.1168087866;1.1583479519
"Lovisenberg";"129409";161.66666667;77;0.6897346838;0.3102653162;"2018";2.3027095809;0.8426864481
"Lovisenberg";"129409";161.66666667;77;0.6897346838;0.3102653162;"2019";1.4632836285;0.6493082776
"Lovisenberg";"129409";161.66666667;77;0.6897346838;0.3102653162;"snitt";1.9555046801;0.8796502368
"Akershus";"435575";660;538;0.5502973715;0.4497026285;"2017";1.6182867189;1.431730156
"Akershus";"435575";660;538;0.5502973715;0.4497026285;"2018";1.4484502291;1.2516262423
"Akershus";"435575";660;538;0.5502973715;0.4497026285;"2019";1.5525944895;1.0955305376
