bohf,innbyggere,pasienter,primkont_rate,primkont_pr_pas,polikont_rate,polikont_pr_pas,rate2018,rate2019,rate2020,ratesnitt,ant_legekons,legekons_pr_pas,andel_prim_kont,andel_poli_kont
Finnmark,60708,128,4.5158,2.2245430809,2.2665,1.1096605744,7.6242,6.8986,5.8726,6.7824,426,3.3342036554,0.6658184267,0.3341815733
UNN,155601,429,6.2531,2.4164724165,4.1124,1.5928515929,10.2707,10.3106,10.5093,10.3655,1720,4.0093240093,0.603261581,0.396738419
Nordland,109805,309,4.7476,1.8941684665,3.7416,1.4838012959,8.2457,8.6359,8.5779,8.4892,1043,3.3779697624,0.5592534128,0.4407465872
Helgeland,62630,235,6.2201,1.9759206799,4.5079,1.4192634561,10.6179,11.0307,10.5904,10.7280,799,3.395184136,0.579797645,0.420202355
Nord-Trøndelag,106379,379,6.1401,1.9832746479,5.8271,1.8961267606,12.2047,11.6014,12.1124,11.9672,1469,3.8794014085,0.5130778879,0.4869221121
St. Olav,262229,678,5.1794,1.9158878505,3.7703,1.3930152484,8.8690,8.4239,9.5440,8.9496,2242,3.3089030989,0.5787213211,0.4212786789
Møre og Romsdal,208635,697,6.1395,2.0358508604,4.5146,1.4947418738,11.3579,10.5857,10.0655,10.6541,2462,3.5305927342,0.5762600391,0.4237399609
Førde,85097,280,6.4923,2.2967818832,3.5546,1.231227652,10.4155,10.2190,9.5712,10.0469,987,3.5280095352,0.646201583,0.353798417
Bergen,355587,959,5.4295,1.8884642113,4.1459,1.4391938846,9.2623,9.1051,10.3414,9.5754,3192,3.3276580959,0.5670271491,0.4329728509
Fonna,139728,461,7.1525,2.3087490962,3.4509,1.1070137383,10.9982,10.4827,10.3541,10.6035,1575,3.4157628344,0.6745461635,0.3254538365
Stavanger,279974,641,6.2878,2.3515340614,4.9264,1.8476339054,11.4362,11.7320,10.5227,11.2142,2692,4.1991679667,0.5607012155,0.4392987845
Østfold,249593,780,5.9314,2.0726185391,4.7837,1.6766339171,11.2692,10.6991,10.1865,10.7151,2926,3.7492524562,0.5535582956,0.4464417044
Akershus,442958,991,5.5641,2.3752521856,3.0101,1.292535306,8.6300,8.1783,8.8993,8.5743,3636,3.6677874916,0.6489332717,0.3510667283
OUS,215555,445,6.3781,2.3443113772,4.4831,1.6392215569,10.3813,10.9891,11.1687,10.8611,1774,3.9835329341,0.5872389827,0.4127610173
Lovisenberg,132850,128,5.5220,1.9660574413,3.8856,1.4699738903,8.7027,8.9306,10.5119,9.4076,439,3.4360313316,0.5869765587,0.4130234413
Diakonhjemmet,116260,330,6.6413,2.1395348837,5.4577,1.7694641052,11.9240,11.7142,12.6823,12.0990,1289,3.9089989889,0.5489107878,0.4510892122
Innlandet,273677,815,5.3042,2.1422730989,4.6494,1.8679476697,9.9293,9.6569,10.2528,9.9536,3270,4.0102207686,0.5328938101,0.4671061899
Vestre Viken,378757,1087,6.8332,2.4754601227,4.0677,1.4680981595,11.0241,10.3343,11.3310,10.9009,4285,3.9435582822,0.6268499581,0.3731500419
Vestfold,194234,549,5.4513,2.1287188828,4.5173,1.7638129933,10.9099,9.4590,9.5566,9.9686,2137,3.8925318761,0.5468469252,0.4531530748
Telemark,139029,385,4.1594,1.7333333333,4.9532,2.0675324675,8.9349,9.6372,8.7391,9.1126,1463,3.8008658009,0.4564426602,0.5435573398
Sørlandet,237810,667,6.4178,2.3233383308,5.2093,1.8915542229,11.8277,11.5316,11.5617,11.6271,2811,4.2148925537,0.5519731368,0.4480268632
Norge,4207096,11373,5.8576,2.168327569,4.2714,1.5806319245,10.2534,9.9455,10.1908,10.1289,42636,3.7489594935,0.5782993268,0.4217006732
