bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_ikkeprim
Finnmark,12.5976,11.3277,9.8391,11.2310,5533,63,367,5.7947368421,1.4785,0.3566,9.3959,0.8683530989
UNN,13.9962,13.4241,13.7454,13.7237,15348,214,1884,8.8052959502,1.5567,0.3999,11.7671,0.8865711572
Nordland,13.4892,13.3937,12.8719,13.2322,11630,156,1179,7.5555555556,0.6784,0.3097,12.2441,0.9487282537
Helgeland,16.4050,17.1768,16.3811,16.6336,7269,122,841,6.9095890411,2.0138,0.5499,14.0698,0.8789325969
Nord-Trøndelag,16.6878,15.8968,15.8288,16.1215,11912,193,1669,8.6344827586,1.6891,0.3360,14.0964,0.8952299818
St. Olav,14.3704,14.8759,14.5270,14.5874,23306,342,2712,7.9375609756,2.8119,0.2835,11.4919,0.8072350248
Møre og Romsdal,16.1323,16.0337,15.2143,15.7729,22143,347,2616,7.5379442843,1.1839,0.5474,14.0417,0.9249401936
Førde,15.8464,14.9507,14.4264,15.0523,9757,146,1244,8.4988610478,1.9106,0.3225,12.8191,0.8730673222
Bergen,14.6345,15.6521,14.8064,15.0261,31723,472,2709,5.7346506704,0.8670,0.9628,13.1962,0.9422975239
Fonna,16.8546,18.3776,16.9575,17.3902,14204,247,1692,6.8594594595,2.3137,0.1630,14.9135,0.8669547887
Stavanger,14.7232,15.1847,14.6383,14.8431,21352,318,2534,7.9612565445,0.9194,0.8532,13.0705,0.9380576678
Østfold,15.2785,15.6942,14.6323,15.1979,24823,380,2601,6.8456140351,1.5329,1.0202,12.6449,0.8991402691
Akershus,13.3306,13.2346,12.6512,13.0600,37845,501,3422,6.8257978723,1.6373,0.3665,11.0561,0.8746303392
OUS,13.9421,15.3829,15.3627,14.9191,15068,220,1723,7.8437025797,1.6073,0.7786,12.5332,0.8922684402
Lovisenberg,15.2385,17.9475,17.5322,16.8834,3881,61,482,7.8961748634,0.8125,1.6226,14.4483,0.9518731879
Diakonhjemmet,17.8139,17.8080,16.0794,17.1506,10034,169,1183,7.0019723866,0.9234,0.7216,15.5057,0.9461619806
Innlandet,12.5606,12.8927,12.9995,12.8206,31689,409,3417,8.3605220228,1.4842,0.4695,10.8669,0.8842370194
Vestre Viken,15.0173,15.7220,15.5402,15.4259,36909,568,4591,8.0833333333,1.7436,0.4016,13.2808,0.8869695853
Vestfold,13.9987,15.0395,14.1125,14.3843,20025,289,2563,8.8787528868,1.3727,0.4021,12.6095,0.9045718343
Telemark,12.6284,13.3405,13.2058,13.0713,15048,196,1578,8.0493197279,1.1252,0.4190,11.5270,0.9139153287
Sørlandet,14.5807,14.1752,14.1506,14.2752,22284,319,2585,8.1129707113,2.0102,0.3109,11.9541,0.8591851037
Norge,14.5565,14.9162,14.4273,14.6260,391783,5732,43592,7.605408549,1.5392,0.5280,12.5588,0.8947621825
