bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_ikkeprim
Finnmark,1.2423,1.1162,0.9595,1.1041,55175,64,517,8.0414507772,0.0970,0.0171,0.9900,0.9121670087
UNN,1.4754,1.4794,1.3912,1.4486,140253,215,2173,10.105426357,0.1150,0.0225,1.3111,0.9205895214
Nordland,1.4185,1.4471,1.3457,1.4034,98175,153,1205,7.8908296943,0.0373,0.0396,1.3264,0.9733863386
Helgeland,1.7940,1.8475,1.6269,1.7540,55361,114,1043,9.1788856305,0.0858,0.0508,1.6175,0.9510975141
Nord-Trøndelag,1.7979,1.7468,1.6073,1.7169,94467,185,1656,8.9334532374,0.0888,0.0394,1.5887,0.9482553244
St. Olav,1.6017,1.4805,1.3965,1.4914,238923,336,2481,7.3829365079,0.1110,0.0694,1.3110,0.9255511362
Møre og Romsdal,1.8066,1.7286,1.5554,1.6955,186492,350,2849,8.1322549952,0.0742,0.0691,1.5522,0.956244431
Førde,1.6366,1.6211,1.4518,1.5687,75340,133,1127,8.45,0.1217,0.0548,1.3922,0.9224386297
Bergen,1.6740,1.6494,1.5603,1.6268,323864,487,2991,6.1416837782,0.0522,0.0945,1.4802,0.9679405104
Fonna,1.8482,1.6044,1.4511,1.6314,125524,214,1428,6.6640746501,0.1117,0.0383,1.4814,0.9315353495
Stavanger,1.4863,1.4589,1.4056,1.4495,258623,323,2521,7.8140495868,0.0447,0.0819,1.3229,0.9691595686
Østfold,1.7985,1.5876,1.4312,1.6033,224770,400,2946,7.3588676103,0.1022,0.1153,1.3859,0.9362761956
Akershus,1.3218,1.2455,1.2021,1.2561,405113,490,3793,7.7401360544,0.0740,0.0461,1.1360,0.9410504065
OUS,1.4976,1.5807,1.4058,1.4945,200487,226,1760,7.7991137371,0.1005,0.0797,1.3142,0.9327725029
Lovisenberg,1.1400,1.2648,1.2458,1.2184,128969,67,410,6.145,0.0810,0.1571,0.9803,0.9335215884
Diakonhjemmet,1.7155,1.6423,1.5559,1.6385,106226,161,1175,7.3153526971,0.0915,0.0850,1.4621,0.9441751926
Innlandet,1.4583,1.4129,1.3696,1.4137,241988,407,3552,8.7352459016,0.0930,0.0774,1.2432,0.9341810032
Vestre Viken,1.4914,1.4891,1.4224,1.4677,341848,519,4052,7.8116966581,0.1365,0.0461,1.2851,0.906999053
Vestfold,1.4412,1.3565,1.2540,1.3491,174209,260,2070,7.9526248399,0.0937,0.0428,1.2126,0.9305228022
Telemark,1.3689,1.3117,1.2326,1.3041,123982,189,1543,8.1657848325,0.0843,0.0708,1.1489,0.9353430377
Sørlandet,1.6133,1.6234,1.5197,1.5844,215526,348,3016,8.6583732057,0.1215,0.0454,1.4174,0.9233091772
Norge,1.5521,1.4978,1.4003,1.4826,3815313,5641,44308,7.8546357029,0.0912,0.0645,1.3269,0.9384947198
