bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_ikkeprim
Finnmark,2.2954,2.0633,1.7830,2.0433,60 708,128,884,6.9268929504,0.2251,0.0486,1.7696,0.8898320297
UNN,2.6366,2.5872,2.5369,2.5870,155 601,429,4 057,9.4568764569,0.2487,0.0575,2.2808,0.9038530298
Nordland,2.5379,2.5550,2.4147,2.5004,109 805,309,2 383,7.7213822894,0.0968,0.0647,2.3389,0.9612843553
Helgeland,3.1490,3.2691,2.9952,3.1340,62 630,235,1 884,8.0056657224,0.2646,0.0971,2.7723,0.9155762037
Nord-Trøndelag,3.1788,3.0591,2.9262,3.0529,106 379,379,3 325,8.7808098592,0.2372,0.0669,2.7487,0.9222859783
St. Olav,2.7859,2.7228,2.6143,2.7060,262 229,678,5 193,7.662567634,0.3615,0.0893,2.2552,0.8663983705
Møre og Romsdal,3.1352,3.0553,2.8221,3.0011,208 635,697,5 465,7.8365200765,0.1771,0.1134,2.7105,0.9409857438
Førde,2.9544,2.8573,2.6551,2.8192,85 097,280,2 370,8.4755661502,0.2876,0.0796,2.4520,0.89799111
Bergen,2.8760,2.9480,2.7887,2.8695,355 587,959,5 700,5.9412786657,0.1277,0.1750,2.5668,0.9554871547
Fonna,3.2399,3.1600,2.8892,3.0929,139 728,461,3 120,6.7686189443,0.3159,0.0499,2.7271,0.8978592308
Stavanger,2.7139,2.7318,2.6328,2.6917,279 974,641,5 056,7.8871554862,0.1258,0.1534,2.4124,0.9532532991
Østfold,3.0487,2.8959,2.6555,2.8641,249 593,780,5 547,7.1089278086,0.2349,0.1992,2.4301,0.9180009786
Akershus,2.4356,2.3574,2.2639,2.3509,442 958,991,7 215,7.2777404169,0.2190,0.0758,2.0560,0.9068294173
OUS,2.6517,2.8607,2.7002,2.7395,215 555,445,3 483,7.8211077844,0.2402,0.1446,2.3547,0.9123151978
Lovisenberg,2.4475,2.8120,2.7562,2.6712,132 850,128,891,6.9817232376,0.1488,0.2930,2.2294,0.9442790293
Diakonhjemmet,3.2085,3.1415,2.9029,3.0771,116 260,330,2 359,7.1547017189,0.1686,0.1440,2.7645,0.9452021764
Innlandet,2.4880,2.4775,2.4482,2.4716,273 677,815,6 969,8.5474243663,0.2221,0.1138,2.1357,0.9101543716
Vestre Viken,2.7458,2.8090,2.7317,2.7622,378 757,1 087,8 643,7.9536809816,0.2855,0.0791,2.3976,0.8966252619
Vestfold,2.6058,2.6255,2.4465,2.5580,194 234,549,4 633,8.4395871281,0.2123,0.0761,2.2696,0.9169892051
Telemark,2.4131,2.4273,2.3430,2.3954,139 029,385,3 121,8.1064935065,0.1809,0.1031,2.1114,0.9244988287
Sørlandet,2.8159,2.7874,2.6911,2.7614,237 810,667,5 601,8.3978010995,0.2967,0.0701,2.3946,0.8925655029
Norge,2.7581,2.7422,2.6085,2.7015,4207096,11 373,87 900,7.7290286652,0.2255,0.1075,2.3685,0.9165365777
